Year,max
1928,2350
1929,1680
1930,1730
1931,1470
1932,2190
1933,2640
1934,2530
1935,1970
1936,1690
1937,1540
1938,2580
1939,1450
1940,1550
1941,1100
1942,2320
1943,1930
1944,943
1945,1760
1946,2360
1947,2580
1948,3540
1949,2460
1950,2590
1951,2510
1952,2020
1953,2240
1954,2890
1955,2510
1956,3230
1957,2330
1958,2300
1959,2640
1960,2190
1961,3310
1962,1800
1963,1810
1964,2640
1965,2140
1966,2470
1967,2780
1968,2130
1969,2590
1970,1860
1971,2550
1972,1700
